aX,aY,aZ,gX,gY,gZ
-0.178,0.518,-2.553,-182.129,30.273,-89.050
-0.229,0.562,-2.852,-191.284,3.540,-104.492
-0.294,0.614,-2.996,-203.064,-32.104,-122.253
-0.364,0.613,-3.021,-209.717,-75.134,-142.944
-0.418,0.383,-2.924,-216.492,-119.080,-168.152
-0.527,-0.118,-2.702,-219.177,-161.987,-193.359
-0.616,-0.708,-2.359,-221.619,-205.566,-210.022
-0.604,-1.246,-1.894,-222.900,-244.934,-214.722
-0.539,-1.689,-1.379,-203.064,-266.907,-211.426
-0.485,-2.068,-1.017,-170.959,-269.775,-201.172
-0.402,-2.347,-0.737,-200.073,-262.329,-173.889
-0.342,-2.469,-0.562,-198.364,-247.742,-143.188
-0.283,-2.557,-0.571,-202.026,-232.422,-109.924
-0.259,-2.665,-0.693,-204.773,-216.003,-77.515
-0.304,-2.780,-0.822,-201.172,-207.764,-46.326
-0.428,-2.944,-0.998,-185.120,-209.473,-16.052
-0.538,-3.023,-1.009,-192.444,-223.206,20.264
-0.679,-3.038,-0.888,-179.382,-239.929,58.655
-0.856,-3.017,-0.648,-159.851,-258.545,97.229
-1.049,-3.005,-0.431,-124.512,-277.039,134.583
-1.236,-2.875,-0.074,-110.107,-297.119,176.392
-1.357,-2.594,0.332,-87.830,-311.218,217.651
-1.405,-2.252,0.629,-64.697,-309.509,255.859
-1.466,-1.890,0.866,-55.969,-296.814,288.330
-1.558,-1.486,1.089,-47.791,-283.691,313.477
-1.625,-1.085,1.365,-39.551,-273.682,330.872
-1.574,-0.709,1.837,-36.072,-273.010,339.233
-1.452,-0.415,2.340,-38.208,-259.521,340.637
-1.342,-0.199,2.701,-37.476,-213.684,336.548
-1.244,0.000,2.870,-34.546,-145.630,329.834
-1.147,0.188,2.807,-25.940,-69.519,321.045
-1.085,0.306,2.518,-18.127,7.141,308.655
-1.015,0.354,2.131,-18.433,72.571,294.128
-0.960,0.323,1.671,-12.390,124.573,279.297
-0.941,0.199,1.249,-3.296,160.278,265.381
-0.925,0.104,0.937,9.338,178.345,256.409
-0.940,0.169,0.757,16.541,182.007,255.737
-0.962,0.396,0.681,16.968,180.542,259.460
-0.950,0.695,0.727,9.338,174.255,260.254
-0.906,0.988,0.808,2.319,173.340,254.578
-0.865,1.221,0.866,0.305,183.350,242.493
-0.836,1.389,0.880,-3.418,200.867,224.609
-0.825,1.490,0.836,-10.193,223.511,202.454
-0.841,1.532,0.762,-17.212,246.033,177.795
-0.861,1.532,0.634,-24.292,269.592,153.015
-0.863,1.492,0.468,-29.236,294.495,129.089
-0.861,1.415,0.228,-31.860,320.190,107.300
-0.877,1.313,-0.087,-34.729,346.252,87.830
-0.917,1.236,-0.452,-38.025,367.371,72.327
-0.931,1.199,-0.804,-43.579,378.845,60.059
-0.901,1.284,-1.103,-50.964,376.770,50.415
-0.842,1.457,-1.340,-60.364,360.352,39.978
-0.684,1.594,-1.563,-73.425,344.421,25.330
-0.685,1.720,-1.851,-74.829,322.632,4.822
-0.621,1.757,-2.076,-72.388,302.429,-19.897
-0.559,1.686,-2.221,-77.576,278.625,-48.828
-0.504,1.496,-2.275,-81.482,253.967,-78.247
-0.460,1.193,-2.254,-81.177,231.995,-105.713
-0.432,0.874,-2.204,-77.576,213.745,-126.770
-0.400,0.604,-2.148,-70.251,200.378,-139.954
-0.383,0.384,-2.119,-60.974,191.956,-147.583
-0.358,0.254,-2.147,-51.941,187.317,-150.085
-0.324,0.244,-2.241,-44.067,184.998,-149.414
-0.304,0.329,-2.448,-36.316,184.509,-148.010
-0.303,0.472,-2.709,-31.982,178.772,-148.682
-0.333,0.564,-2.967,-31.311,163.635,-154.602
-0.273,0.485,-3.100,-36.926,137.756,-166.992
-0.287,0.268,-3.222,-41.687,107.544,-185.059
-0.237,-0.208,-3.269,-40.710,80.078,-207.520
-0.208,-0.942,-3.252,-45.593,45.044,-228.394
-0.173,-1.637,-3.097,-51.941,10.071,-236.206
-0.182,-2.269,-3.019,-12.573,-24.353,-234.009
-0.119,-2.294,-2.307,-28.625,-57.800,-208.557
-0.100,-2.543,-1.952,-44.312,-94.299,-171.692
0.016,-2.467,-1.379,-63.599,-103.638,-131.104
0.093,-2.305,-0.894,-69.946,-109.985,-89.844
0.129,-2.070,-0.570,-65.857,-103.638,-54.688
0.143,-1.814,-0.323,-49.438,-94.788,-27.283
0.162,-1.521,-0.178,-32.349,-73.486,-5.859
0.169,-1.239,-0.104,-17.029,-52.246,9.583
0.141,-0.980,-0.111,-5.371,-29.663,19.653
0.119,-0.772,-0.188,3.540,-8.240,23.987
0.108,-0.670,-0.291,6.348,9.766,23.865
0.101,-0.592,-0.403,4.150,25.513,22.278
0.074,-0.549,-0.510,-0.732,37.476,20.081
0.091,-0.556,-0.564,-4.578,43.762,16.907
0.129,-0.541,-0.579,-9.216,47.668,15.076
0.074,-0.560,-0.672,-9.583,57.739,13.794
0.019,-0.558,-0.775,-4.517,67.566,14.404
0.039,-0.585,-0.860,3.052,68.604,16.602
0.051,-0.585,-0.942,12.939,67.993,20.203
0.029,-0.513,-1.044,17.090,69.336,25.940
0.018,-0.401,-1.176,17.639,69.580,30.762
0.014,-0.317,-1.280,15.686,62.317,32.410
0.092,-0.265,-1.399,12.024,52.856,32.471
0.003,-0.123,-1.545,6.287,44.617,31.677
-0.004,-0.041,-1.593,2.869,30.762,28.687
0.002,-0.015,-1.563,-2.014,13.428,23.376
0.017,-0.020,-1.459,-5.188,-1.831,18.494
0.027,-0.059,-1.312,-7.324,-13.184,13.489
0.037,-0.108,-1.162,-8.240,-20.630,9.155
0.047,-0.151,-1.036,-7.568,-23.865,6.287
0.054,-0.178,-0.940,-5.310,-22.705,4.395
0.063,-0.187,-0.880,-3.357,-19.104,3.235
0.070,-0.190,-0.849,-2.502,-14.099,2.136
0.084,-0.198,-0.852,-2.930,-8.789,0.671
0.099,-0.231,-0.871,-4.822,-3.906,-1.282
0.102,-0.278,-0.906,-7.019,0.244,-2.869
0.106,-0.309,-0.951,-8.545,3.601,-3.296
0.107,-0.319,-0.996,-9.155,5.615,-2.930
0.099,-0.314,-1.039,-9.216,6.592,-2.319
0.098,-0.292,-1.073,-9.705,6.470,-1.587
0.097,-0.274,-1.089,-10.742,5.310,-1.526
0.100,-0.275,-1.086,-12.207,3.418,-2.258
0.106,-0.296,-1.076,-13.428,1.526,-3.540
0.103,-0.316,-1.066,-14.832,-0.244,-4.272
0.108,-0.315,-1.042,-15.991,-1.892,-4.333
0.105,-0.304,-1.025,-15.808,-2.869,-4.089
0.088,-0.286,-1.008,-14.343,-3.479,-4.089

-0.475,-1.029,-1.484,-283.936,-19.958,-171.875
-0.503,-1.233,-1.609,-289.307,-34.241,-168.884
-0.507,-1.453,-1.657,-290.894,-54.565,-163.940
-0.510,-1.739,-1.667,-291.809,-76.782,-157.104
-0.565,-1.976,-1.644,-289.062,-97.717,-145.020
-0.625,-2.213,-1.700,-266.113,-119.019,-128.418
-0.685,-2.235,-1.592,-271.118,-142.273,-101.563
-0.748,-2.201,-1.492,-265.869,-168.274,-74.280
-0.873,-2.179,-1.362,-255.310,-195.190,-51.697
-0.940,-2.201,-1.119,-237.305,-223.022,-33.447
-1.040,-2.278,-0.856,-209.412,-247.559,-17.761
-1.153,-2.298,-0.577,-175.659,-266.724,-1.709
-1.214,-2.466,-0.161,-133.484,-296.814,10.559
-1.243,-2.585,0.348,-103.882,-317.993,26.062
-1.295,-2.830,0.697,-73.120,-317.932,44.189
-1.394,-3.034,1.103,-73.669,-310.486,71.350
-1.485,-3.054,1.536,-65.063,-297.485,107.849
-1.482,-3.139,1.910,-70.251,-268.982,148.682
-1.417,-2.978,2.128,-90.698,-219.727,195.068
-1.378,-2.564,2.099,-76.599,-158.020,242.310
-1.398,-2.139,1.785,-66.772,-88.440,278.809
-1.406,-1.768,1.312,-63.171,-29.236,305.420
-1.403,-1.532,0.723,-53.528,15.503,322.327
-1.428,-1.488,0.151,-47.485,41.748,331.848
-1.496,-1.535,-0.335,-40.649,42.786,339.417
-1.566,-1.489,-0.637,-36.316,18.738,352.844
-1.657,-1.321,-0.810,-21.545,-15.686,370.056
-1.792,-1.051,-0.737,-7.324,-59.387,386.353
-1.796,-0.699,-0.478,10.742,-103.943,399.231
-1.762,-0.387,-0.224,27.405,-138.489,407.227
-1.712,-0.080,0.258,0.977,-172.974,411.255
-1.610,0.054,0.578,2.319,-189.514,407.166
-1.482,0.190,1.052,19.165,-200.073,395.508
-1.329,0.292,1.463,2.319,-198.425,384.155
-1.233,0.421,1.848,-10.559,-169.800,370.728
-1.018,0.504,2.166,-15.015,-131.409,355.042
-0.942,0.650,2.220,-24.719,-67.139,339.050
-0.912,0.811,2.215,-37.476,0.977,320.374
-0.817,0.927,2.206,-52.734,60.913,298.645
-0.790,0.968,2.086,-49.194,126.221,274.414
-0.826,0.950,1.904,-42.358,192.078,250.610
-0.892,0.860,1.662,-34.546,251.526,228.943
-0.983,0.787,1.369,-22.888,305.786,210.999
-1.092,0.765,1.060,-14.160,350.586,197.571
-1.159,0.827,0.712,-15.381,388.306,186.829
-1.217,0.949,0.318,-27.832,422.180,176.331
-1.235,1.076,-0.107,-38.513,448.792,162.781
-1.169,1.181,-0.523,-45.410,464.783,145.325
-1.076,1.223,-0.947,-44.434,471.497,124.329
