count,aX,aY,aZ,gX,gY,gZ
1,-0.099,-1.437,-1.076,-183.594,-147.705,-56.152
2,-0.132,-1.606,-1.226,-155.823,-149.658,-47.607
3,-0.158,-1.686,-1.2,-166.687,-158.569,-33.02
4,-0.203,-1.777,-1.158,-159.973,-169.678,-19.836
5,-0.201,-1.882,-1.112,-150.818,-182.434,-6.714
6,-0.29,-2.014,-1.089,-123.779,-195.984,4.944
7,-0.323,-2.112,-0.958,-114.075,-208.313,22.705
8,-0.404,-2.172,-0.812,-91.125,-221.069,41.931
9,-0.515,-2.177,-0.677,-66.467,-232.422,63.293
10,-0.636,-2.118,-0.463,-39.795,-247.131,83.984
11,-0.733,-2.03,-0.127,-17.09,-268.127,102.478
12,-0.757,-1.982,0.266,3.906,-289.368,118.042
13,-0.743,-1.953,0.65,8.24,-294.495,132.812
14,-0.711,-1.92,0.95,6.592,-283.325,148.499
15,-0.677,-1.864,1.128,-0.305,-257.935,166.687
16,-0.648,-1.768,1.206,-3.906,-224.915,186.157
17,-0.64,-1.665,1.17,-4.944,-188.66,203.979
18,-0.606,-1.567,1.026,-5.798,-154.236,219.543
19,-0.646,-1.412,0.86,-1.526,-128.296,233.948
20,-0.64,-1.24,0.674,12.268,-108.093,247.437
21,-0.636,-1.118,0.475,20.508,-96.619,257.202
22,-0.672,-0.998,0.319,24.78,-93.689,264.404
23,-0.713,-0.822,0.218,25.574,-97.534,271.24
24,-0.777,-0.597,0.212,23.01,-110.352,276.855
25,-0.772,-0.357,0.383,8.911,-131.897,280.212
26,-0.723,-0.155,0.682,-10.498,-153.381,279.541
27,-0.638,-0.017,1.043,-19.043,-164.185,273.621
28,-0.539,0.023,1.381,-25.513,-156.799,264.648
29,-0.436,-0.007,1.657,-27.039,-133.423,254.7
30,-0.364,-0.064,1.812,-25.024,-94.421,247.192
31,-0.346,-0.14,1.83,-19.531,-45.715,243.164
32,-0.374,-0.21,1.74,-14.221,4.15,241.211
33,-0.456,-0.21,1.619,-5.981,47.913,242.31
34,-0.476,-0.089,1.511,8.179,83.984,246.46
35,-0.491,0.088,1.403,23.499,117.371,252.258
36,-0.498,0.295,1.273,32.959,147.522,257.874
37,-0.519,0.512,1.102,37.292,177.063,259.827
38,-0.537,0.699,0.93,43.518,200.623,257.507
39,-0.538,0.871,0.764,45.532,217.163,252.075
40,-0.506,1.047,0.641,45.166,228.21,243.591
41,-0.477,1.197,0.546,42.847,235.107,231.262
42,-0.433,1.317,0.47,42.175,242.126,215.637
43,-0.381,1.393,0.39,45.044,249.084,197.51
44,-0.349,1.428,0.284,48.218,258.667,177.917
45,-0.323,1.417,0.153,51.147,270.081,157.654
46,-0.298,1.357,-0.018,53.833,281.25,138
47,-0.287,1.255,-0.234,54.626,293.152,119.202
48,-0.272,1.147,-0.457,49.255,301.514,102.6
49,-0.242,1.036,-0.701,39.917,306.335,88.379
50,-0.209,0.96,-0.919,28.137,304.138,77.393
51,-0.158,0.925,-1.126,16.785,297.363,69.641
52,-0.121,0.931,-1.304,6.47,286.133,63.11
53,-0.075,0.984,-1.442,-1.709,270.63,57.129
54,-0.002,1.064,-1.517,-6.531,249.756,50.354
55,0.067,1.141,-1.514,-7.629,224.67,41.931
56,0.124,1.192,-1.452,-8.545,202.454,31.067
57,0.173,1.186,-1.315,-9.521,183.655,18.433
58,0.194,1.099,-1.156,-12.207,170.41,4.333
59,0.183,0.948,-1.017,-16.968,164.124,-8.545
60,0.167,0.78,-0.916,-16.846,164.185,-18.86
61,0.131,0.651,-0.867,-12.512,170.349,-24.658
62,0.113,0.6,-0.865,-6.104,181.213,-26.123
63,0.09,0.653,-0.911,-0.671,191.589,-24.536
64,0.061,0.802,-0.986,1.282,199.89,-22.095
65,0.051,1.021,-1.073,0.183,208.069,-21.79
66,0.011,1.198,-1.25,-2.869,217.102,-26.917
67,-0.017,1.393,-1.435,-6.165,218.506,-37.048
68,-0.067,1.536,-1.667,-10.864,219.116,-52.917
69,-0.1,1.52,-1.974,-15.869,215.393,-75.928
70,-0.136,1.312,-2.291,-21.912,205.017,-102.417
71,-0.147,0.927,-2.549,-30.518,185.425,-126.77
72,-0.153,0.451,-2.717,-38.757,158.081,-144.897
73,-0.121,-0.024,-2.764,-44.495,125.916,-154.297
74,-0.064,-0.431,-2.712,-49.561,93.689,-153.32
75,-0.005,-0.703,-2.591,-54.688,63.171,-142.395
76,0.049,-0.812,-2.422,-61.035,35.034,-124.207
77,0.102,-0.789,-2.193,-66.772,8.85,-103.943
78,0.146,-0.678,-1.948,-71.289,-9.888,-85.693
79,0.189,-0.529,-1.683,-72.998,-22.827,-71.106
80,0.223,-0.416,-1.432,-70.862,-29.602,-62.195
81,0.245,-0.391,-1.234,-65.002,-30.029,-58.533
82,0.251,-0.444,-1.103,-55.725,-25.269,-57.129
83,0.254,-0.527,-1.024,-44.067,-18.372,-55.237
84,0.244,-0.613,-0.993,-32.715,-10.681,-50.781
85,0.238,-0.669,-0.987,-22.949,-4.15,-43.945
86,0.245,-0.673,-1.002,-15.808,1.648,-34.546
87,0.244,-0.624,-1.047,-12.024,6.104,-23.926
88,0.239,-0.52,-1.104,-11.047,8.179,-13.428
89,0.222,-0.389,-1.157,-10.864,7.812,-5.066
90,0.211,-0.256,-1.164,-11.169,5.188,0.427
91,0.211,-0.136,-1.131,-11.108,1.221,3.479
92,0.201,-0.057,-1.077,-10.132,-1.343,3.906
93,0.197,-0.027,-1.014,-8.972,-2.686,2.441
94,0.188,-0.043,-0.971,-7.69,-2.075,0.305
95,0.181,-0.078,-0.951,-6.287,0.305,-1.343
96,0.168,-0.104,-0.954,-5.127,3.052,-1.099
97,0.167,-0.098,-0.975,-3.357,5.981,0.732
98,0.166,-0.074,-1.015,-2.258,8.179,2.747
99,0.158,-0.048,-1.062,-1.892,9.216,4.456
100,0.156,-0.018,-1.101,-1.648,8.85,5.859
101,0.147,0.013,-1.117,-2.075,7.141,6.775
102,0.144,0.049,-1.107,-2.93,4.578,6.958
103,0.154,0.139,-1.113,-2.686,2.747,6.653
104,0.132,0.197,-1.139,-2.075,1.587,4.456
105,0.142,0.161,-1.141,-2.563,-0.671,0.061
106,0.145,0.066,-1.106,-2.625,-3.235,-3.296
107,0.154,-0.002,-1.099,-2.075,-4.333,-4.089
108,0.158,-0.024,-1.104,-3.174,-5.31,-2.808
