aX,aY,aZ,gX,gY,gZ
0.552,-0.964,-1.771,24.536,-25.696,65.491
0.526,-1.029,-1.842,23.682,-40.771,93.628
2.417,0.355,-1.597,20.142,-65.125,123.718
0.728,0.739,-1.775,105.408,-76.538,93.628
0.358,0.513,-2.158,36.316,-73.975,28.320
0.068,0.387,-2.471,30.884,-86.853,5.737
0.047,0.174,-2.333,21.484,-116.699,16.113
0.197,0.001,-2.137,-0.305,-148.865,40.833
0.245,0.132,-2.104,-5.737,-169.922,68.359
0.240,0.437,-1.995,-6.165,-188.782,85.449
0.133,0.780,-1.816,-7.019,-204.956,89.783
0.042,1.147,-1.675,-6.287,-216.980,84.351
-0.049,1.543,-1.649,-2.930,-223.022,70.618
-0.118,1.852,-1.615,3.845,-229.797,47.607
-0.220,1.893,-1.558,12.634,-239.258,14.954
-0.347,1.854,-1.198,-7.080,-253.296,-17.700
-0.466,1.638,-0.988,22.461,-259.705,-51.636
-0.552,1.466,-0.643,41.870,-261.841,-80.811
-0.582,1.388,-0.318,48.828,-259.583,-103.516
-0.583,1.325,0.049,47.485,-259.155,-124.512
-0.589,1.287,0.369,50.049,-241.028,-145.447
-0.646,1.181,0.583,84.167,-207.336,-170.776
-0.695,1.033,0.774,92.529,-172.913,-192.932
-0.716,0.905,0.961,98.328,-137.695,-211.365
-0.701,0.881,1.074,99.426,-97.839,-225.159
-0.722,0.916,1.100,99.548,-54.260,-239.380
-0.723,0.892,1.078,93.506,-14.526,-258.423
-0.750,0.672,1.034,90.454,18.188,-282.593
-0.802,0.318,1.023,94.421,43.274,-307.007
-0.818,-0.077,1.062,97.229,64.026,-325.134
-0.829,-0.486,1.067,100.464,91.370,-334.900
-0.756,-0.897,1.036,106.079,124.634,-336.975
-0.621,-1.266,1.011,112.671,158.264,-331.421
-0.526,-1.537,0.917,123.901,198.669,-318.909
-0.499,-1.771,0.696,136.108,246.765,-301.270
-0.484,-1.930,0.412,135.498,292.603,-278.809
-0.471,-2.004,0.141,127.625,324.890,-253.479
-0.454,-2.152,-0.254,128.113,349.976,-227.051
-0.396,-2.243,-0.540,104.004,359.070,-196.350
-0.281,-2.340,-0.938,91.309,364.258,-164.917
-0.140,-2.439,-1.395,82.458,369.141,-136.780
-0.025,-2.578,-1.876,70.068,360.657,-111.267
0.076,-2.692,-2.525,57.068,345.947,-84.778
0.120,-2.623,-3.073,54.749,305.664,-55.664
-0.231,-2.483,-3.287,64.697,260.376,-27.405
-0.423,-2.531,-3.315,65.247,205.627,8.545
-0.394,-2.756,-3.320,74.585,150.940,60.608
-0.278,-2.808,-3.409,109.436,95.825,124.695
-0.278,-2.435,-3.160,127.319,35.767,194.702
-0.472,-1.793,-2.792,118.103,-15.625,256.409
-0.626,-0.982,-2.392,107.971,-56.702,304.565
-0.665,-0.178,-1.884,93.445,-90.149,335.083
-0.658,0.452,-1.396,91.675,-108.154,345.215
-0.625,0.799,-1.053,77.148,-114.319,339.172
-0.459,1.404,-0.447,-0.549,-104.797,328.979
-0.352,1.620,-0.493,51.514,-79.834,296.753
-0.194,1.910,-0.352,25.940,-53.711,261.719
-0.142,1.991,-0.451,31.677,-22.461,219.482
-0.062,1.953,-0.640,20.691,6.470,175.110
-0.023,1.779,-0.870,16.174,24.536,131.470
0.008,1.502,-1.098,6.714,28.687,93.262
0.043,1.176,-1.253,-3.723,22.522,61.340
0.030,0.874,-1.385,-6.836,12.878,37.476
0.068,0.594,-1.350,-1.587,-3.479,21.912
0.109,0.413,-1.156,7.507,-21.851,13.428
0.161,0.335,-0.912,19.897,-34.485,9.644
0.199,0.295,-0.695,26.794,-37.903,7.935
0.212,0.274,-0.589,28.320,-33.142,7.202
0.223,0.266,-0.560,25.940,-23.193,7.629
0.212,0.292,-0.557,20.996,-12.695,8.484
0.229,0.324,-0.549,16.968,-5.371,7.690
0.246,0.310,-0.553,13.428,2.197,5.005
0.229,0.281,-0.573,11.475,10.559,1.892
0.228,0.265,-0.631,6.897,19.836,-0.916
0.229,0.270,-0.709,1.465,28.564,-3.357
0.234,0.285,-0.802,-5.920,37.537,-5.432
0.240,0.278,-0.957,-9.338,44.678,-8.606
0.262,0.245,-1.074,-16.418,44.006,-13.123
0.251,0.172,-1.205,-20.325,42.664,-18.372
0.247,0.097,-1.295,-23.743,37.231,-22.644
0.478,0.014,-1.350,-19.714,28.015,-25.635
0.368,-0.138,-1.316,-15.808,15.747,-26.001
0.257,-0.241,-1.185,-14.160,2.991,-21.423
0.195,-0.296,-1.063,-12.756,-2.502,-12.451
0.219,-0.247,-0.997,-8.179,-3.845,-1.953
0.218,-0.188,-0.960,-10.498,-1.709,7.385
0.202,-0.166,-0.945,-7.568,1.709,14.587
0.175,-0.137,-0.961,-9.399,5.554,21.057
0.126,-0.071,-1.013,-7.019,9.277,26.428
0.145,0.021,-1.048,-6.531,10.864,30.945
0.181,0.120,-1.100,-1.709,11.353,33.020
0.177,0.210,-1.132,0.427,10.437,32.593
0.184,0.277,-1.153,1.953,7.935,29.419
0.181,0.314,-1.156,1.831,4.883,24.292
0.190,0.318,-1.152,0.854,1.648,17.883
0.207,0.286,-1.140,0.244,-1.221,11.169
0.180,0.229,-1.129,-0.916,-3.418,4.944
0.198,0.183,-1.135,-2.014,-5.310,0.488
0.224,0.138,-1.112,-3.479,-7.324,-2.686
0.220,0.090,-1.079,-5.737,-9.277,-4.883
0.214,0.063,-1.037,-7.019,-10.376,-5.554
0.226,0.047,-0.992,-7.141,-10.437,-5.737
0.232,0.027,-0.952,-7.263,-9.399,-5.920
0.233,0.006,-0.933,-7.385,-7.202,-5.676
0.232,-0.007,-0.927,-7.385,-4.395,-5.188
0.233,-0.006,-0.923,-6.348,-1.770,-4.456
0.233,-0.001,-0.929,-5.432,0.916,-3.113
0.232,-0.018,-0.931,-5.249,3.479,-2.075
0.235,-0.014,-0.957,-1.953,5.432,-1.221
0.232,-0.003,-0.966,-5.737,7.385,0.122
0.232,0.017,-0.994,-6.836,9.460,1.099
0.230,0.043,-1.045,-6.287,10.132,1.648
0.236,0.064,-1.072,-6.653,9.155,1.404
0.228,0.074,-1.076,-7.385,7.324,0.366
0.221,0.068,-1.077,-7.385,5.432,-0.854
0.218,0.049,-1.068,-7.080,3.845,-2.258
0.217,0.024,-1.053,-6.958,2.808,-3.357
0.214,0.005,-1.039,-6.348,2.563,-3.784
0.213,-0.003,-1.033,-5.798,2.869,-3.967
