count,aX,aY,aZ,gX,gY,gZ
1,0.196,-0.244,-2.272,-7.69,-30.273,-0.305
2,0.188,-0.182,-2.431,-8.972,-46.326,4.028
3,0.156,-0.132,-2.488,-12.695,-69.092,6.897
4,0.115,-0.133,-2.43,-14.954,-94.666,7.629
5,0.1,-0.159,-2.298,-13.855,-116.943,7.812
6,0.104,-0.181,-2.16,-10.498,-133.545,8.728
7,0.11,-0.197,-2.072,-6.348,-144.958,10.193
8,0.119,-0.203,-2.069,-2.258,-152.039,12.207
9,0.117,-0.189,-2.141,0.305,-158.936,14.648
10,0.107,-0.177,-2.274,2.93,-168.335,16.907
11,0.064,-0.205,-2.391,6.042,-182.983,17.7
12,0.02,-0.244,-2.465,7.996,-203.674,18.372
13,-0.027,-0.277,-2.527,10.437,-228.088,20.569
14,-0.092,-0.284,-2.557,14.404,-256.47,23.56
15,-0.198,-0.262,-2.489,13.062,-290.222,26.978
16,-0.363,-0.207,-2.251,2.563,-328.125,31.372
17,-0.47,-0.047,-1.922,-4.211,-365.417,36.682
18,-0.515,0.123,-1.454,-14.893,-399.658,39.551
19,-0.549,0.212,-1.021,-17.883,-419.434,36.865
20,-0.466,0.203,-0.556,-21.179,-429.26,30.09
21,-0.382,0.173,-0.257,-21.423,-429.26,21.484
22,-0.271,0.071,0.007,-27.161,-422.485,11.841
23,-0.186,-0.047,0.196,-28.687,-404.907,4.028
24,-0.083,-0.178,0.318,-29.602,-384.644,-0.305
25,-0.007,-0.274,0.365,-34.363,-360.229,-1.526
26,0.034,-0.319,0.364,-34.973,-332.458,1.465
27,0.069,-0.362,0.401,-36.621,-315.552,7.019
28,0.082,-0.363,0.459,-25.696,-299.316,14.893
29,0.077,-0.34,0.55,-13.184,-287.17,24.048
30,0.095,-0.246,0.649,-10.376,-270.386,34.18
31,0.119,-0.162,0.733,-4.517,-253.357,42.358
32,0.131,-0.069,0.784,-3.723,-233.276,47.363
33,0.124,0.027,0.832,-3.845,-214.294,49.316
34,0.136,0.126,0.885,-6.409,-197.327,48.645
35,0.145,0.215,0.97,-10.315,-181.641,45.593
36,0.161,0.297,1.047,-12.939,-165.71,40.161
37,0.164,0.349,1.082,-17.578,-145.203,32.593
38,0.18,0.355,1.081,-22.949,-125.488,23.682
39,0.182,0.305,1.057,-27.832,-107.117,14.709
40,0.184,0.222,1.041,-28.87,-92.163,7.141
41,0.17,0.13,1.022,-26.489,-78.369,2.258
42,0.166,0.061,1.039,-22.888,-67.017,0.366
43,0.165,0.042,1.076,-17.761,-56.03,1.16
44,0.166,0.05,1.099,-13.184,-41.931,2.747
45,0.158,0.07,1.116,-10.559,-26.001,3.784
46,0.16,0.087,1.141,-6.714,-10.62,3.296
47,0.154,0.09,1.176,-4.211,3.052,1.343
48,0.145,0.034,1.177,-3.845,19.531,-1.16
49,0.099,0.021,1.183,-6.836,36.499,-2.258
50,0.072,0.022,1.208,-2.625,52.429,-1.221
51,0.037,0.043,1.214,-4.944,68.115,0.183
52,0.007,0.076,1.224,-3.967,85.632,2.319
53,-0.016,0.126,1.221,-3.357,103.76,4.333
54,-0.055,0.19,1.184,-2.747,124.268,5.676
55,-0.093,0.262,1.154,-1.831,144.165,5.798
56,-0.13,0.333,1.156,0.183,162.292,4.028
57,-0.172,0.383,1.192,2.93,181.396,0.427
58,-0.205,0.404,1.183,6.836,203.979,-4.272
59,-0.241,0.382,1.083,10.559,232.666,-9.827
60,-0.287,0.345,0.901,9.399,261.658,-15.869
61,-0.302,0.274,0.677,7.874,286.987,-22.095
62,-0.31,0.203,0.425,7.568,305.969,-27.832
63,-0.335,0.111,0.218,9.216,318.054,-33.63
