aX,aY,aZ,gX,gY,gZ
0.217,0.300,-2.210,-17.029,-56.641,1.099
0.203,0.263,-2.361,-13.306,-68.787,-2.869
0.143,0.187,-2.502,-9.338,-83.801,-6.287
0.119,0.137,-2.619,-4.883,-102.112,-7.751
0.105,0.142,-2.745,4.456,-121.033,-6.653
0.054,0.192,-2.816,15.625,-142.578,-5.554
-0.003,0.280,-2.824,22.827,-168.274,-5.249
-0.025,0.354,-2.777,24.292,-196.106,-6.958
-0.058,0.381,-2.676,22.034,-223.206,-11.536
-0.060,0.357,-2.549,18.982,-249.023,-17.273
-0.101,0.299,-2.442,15.747,-272.217,-22.827
-0.203,0.221,-2.307,13.672,-295.227,-27.649
-0.303,0.150,-2.116,11.353,-320.190,-30.884
-0.377,0.114,-1.870,9.460,-344.360,-32.043
-0.460,0.104,-1.567,10.681,-364.685,-32.227
-0.467,0.067,-1.216,13.245,-380.127,-33.325
-0.409,-0.004,-0.895,20.691,-386.292,-35.156
-0.363,-0.095,-0.601,27.344,-385.620,-36.926
-0.339,-0.164,-0.376,31.067,-382.019,-36.743
-0.295,-0.210,-0.164,29.663,-377.747,-34.424
-0.253,-0.201,0.001,26.306,-366.943,-30.396
-0.213,-0.166,0.169,21.118,-358.032,-26.123
-0.142,-0.135,0.316,18.005,-346.802,-23.193
-0.103,-0.128,0.422,18.127,-330.872,-22.217
-0.089,-0.132,0.497,17.273,-313.782,-22.034
-0.060,-0.152,0.550,16.479,-297.180,-21.423
-0.032,-0.182,0.588,19.958,-281.555,-20.447
-0.040,-0.191,0.624,22.156,-267.578,-18.494
-0.042,-0.162,0.678,19.043,-256.714,-15.625
-0.005,-0.117,0.760,12.451,-248.474,-12.512
0.007,-0.057,0.846,7.202,-239.014,-10.376
0.002,0.024,0.949,2.380,-228.760,-8.667
0.015,0.104,1.055,-0.183,-218.323,-8.545
0.034,0.148,1.154,-0.916,-205.383,-9.888
0.048,0.164,1.236,-1.648,-189.514,-12.817
0.054,0.148,1.311,-2.319,-172.607,-16.724
0.077,0.109,1.382,-4.333,-155.640,-20.325
0.106,0.045,1.435,-5.371,-136.719,-23.193
0.131,-0.020,1.474,-6.958,-116.821,-25.391
0.154,-0.083,1.497,-9.094,-95.398,-25.940
0.174,-0.137,1.496,-11.841,-72.998,-25.024
0.185,-0.182,1.464,-13.306,-49.866,-22.949
